Player,Team,Position,Wild Card,Divisional,Championship,Super Bowl,Total
N.Landman,LA,LB,10.0,0.0,0.0,0.0,10.0
N.Emmanwori,SEA,DB,0.0,8.5,0.0,0.0,8.5
J.Love,SEA,DB,0.0,4.5,0.0,0.0,4.5
J.Hines-Allen,JAX,DL,9.5,0.0,0.0,0.0,9.5
D.Lloyd,JAX,LB,8.5,0.0,0.0,0.0,8.5
J.Phillips,PHI,LB,0.0,0.0,0.0,0.0,0.0
J.Carter,PHI,DL,8.0,0.0,0.0,0.0,8.0
C.Woodson,NE,DB,11.0,0.0,0.0,0.0,11.0
P.Queen,PIT,LB,8.5,0.0,0.0,0.0,8.5
U.Nwosu,SEA,LB,0.0,0.5,0.0,0.0,0.5
T.Walker,JAX,DL,4.0,0.0,0.0,0.0,4.0
C.Gardner-Johnson,CHI,DB,0.0,0.0,0.0,0.0,0.0
P.Wilson,PIT,LB,6.0,0.0,0.0,0.0,6.0
M.Williams,NE,DL,14.5,0.0,0.0,0.0,14.5
J.Ramsey,PIT,DB,3.5,0.0,0.0,0.0,3.5
S.Barkley,PHI,RB,14.6,0.0,0.0,0.0,14.6
K.Williams,LA,RB,14.5,0.0,0.0,0.0,14.5
D.Smith,PHI,WR,11.0,0.0,0.0,0.0,11.0
R.Stevenson,NE,RB,14.3,0.0,0.0,0.0,14.3
J.Meyers,JAX,WR,1.7,0.0,0.0,0.0,1.7
K.Monangai,CHI,RB,5.4,0.0,0.0,0.0,5.4
B.Thomas,JAX,WR,9.1,0.0,0.0,0.0,9.1
K.Boutte,NE,WR,8.6,0.0,0.0,0.0,8.6
C.Kupp,SEA,WR,0.0,8.5,0.0,0.0,8.5
R.Odunze,CHI,WR,5.4,0.0,0.0,0.0,5.4
T.Ferguson,LA,TE,0.0,0.0,0.0,0.0,0.0
E.Chism,NE,WR,4.9,0.0,0.0,0.0,4.9
Offense,,,89.5,8.5,0.0,0.0,98.0
Defense,,,83.5,13.5,0.0,0.0,97.0
Total,,,173.0,22.0,0.0,0.0,195.0
