Player,Team,Position,Wild Card,Divisional,Championship,Super Bowl,Total
K.Kinchens,LA,DB,2.5,8.5,0.0,0.0,11.0
R.Spillane,NE,LB,7.0,7.0,1.5,0.0,15.5
K.Byard,CHI,DB,3.5,8.5,0.0,0.0,12.0
J.Hawkins,NE,DB,2.0,3.0,2.0,0.0,7.0
J.Brown,SF,DB,3.0,0.0,0.0,0.0,3.0
A.Wingard,JAX,DB,3.5,0.0,0.0,0.0,3.5
R.Moss,DEN,DB,0.0,3.5,2.0,0.0,5.5
K.Chaisson,NE,LB,19.5,11.0,4.0,0.0,34.5
D.Henley,LAC,LB,21.0,0.0,0.0,0.0,21.0
D.Lawrence,SEA,LB,0.0,24.0,0.0,0.0,24.0
U.Stout,SF,DB,7.0,1.5,0.0,0.0,8.5
G.Dexter,CHI,DL,1.0,2.0,0.0,0.0,3.0
C.Durant,LA,DB,14.0,24.5,0.0,0.0,38.5
E.Williams,GB,DB,6.5,0.0,0.0,0.0,6.5
D.Lenoir,SF,DB,8.5,2.5,0.0,0.0,11.0
P.Nacua,LA,WR,29.5,8.7,0.0,0.0,38.2
B.Purdy,SF,QB,16.38,4.3,0.0,0.0,20.68
T.Henderson,NE,RB,4.1,2.8,0.5,0.0,7.4
P.Washington,JAX,WR,20.4,0.0,0.0,0.0,20.4
Z.Charbonnet,SEA,RB,0.0,2.0,0.0,0.0,2.0
K.Gainwell,PIT,RB,11.6,0.0,0.0,0.0,11.6
C.Loveland,CHI,TE,19.7,7.6,0.0,0.0,27.3
D.Moore,CHI,WR,14.9,14.5,0.0,0.0,29.4
D.Douglas,NE,WR,0.8,10.6,0.0,0.0,11.4
P.Bryant,DEN,WR,0.0,4.7,0.8,0.0,5.5
C.Hubbard,CAR,RB,18.9,0.0,0.0,0.0,18.9
C.Kirk,HOU,WR,24.4,9.0,0.0,0.0,33.4
Offense,,,160.68,64.2,1.3,0.0,226.18
Defense,,,99.0,96.0,9.5,0.0,204.5
Total,,,259.68,160.2,10.8,0.0,430.68
