Player,Team,Position,Wild Card,Divisional,Championship,Super Bowl,Total
B.Young,LA,LB,2.0,0.0,0.0,0.0,2.0
D.Hunter,HOU,DL,12.0,0.0,0.0,0.0,12.0
K.Lassiter,HOU,DB,9.5,0.0,0.0,0.0,9.5
O.Speights,LA,LB,2.0,0.0,0.0,0.0,2.0
K.Turner,LA,DL,1.0,0.0,0.0,0.0,1.0
D.Witherspoon,SEA,DB,0.0,8.0,0.0,0.0,8.0
J.Brisker,CHI,DB,7.0,0.0,0.0,0.0,7.0
C.Bullock,HOU,DB,19.0,0.0,0.0,0.0,19.0
J.Jobe,SEA,DB,0.0,1.0,0.0,0.0,1.0
Z.Allen,DEN,DL,0.0,6.0,0.0,0.0,6.0
P.Surtain,DEN,DB,0.0,2.5,0.0,0.0,2.5
T.Woolen,SEA,DB,0.0,7.0,0.0,0.0,7.0
J.Johnson,CHI,DB,9.0,0.0,0.0,0.0,9.0
S.Thompson,BUF,LB,17.0,8.5,0.0,0.0,25.5
T.White,BUF,DB,11.0,3.5,0.0,0.0,14.5
D.Maye,NE,QB,14.82,0.0,0.0,0.0,14.82
C.McCaffrey,SF,RB,26.4,9.9,0.0,0.0,36.3
N.Collins,HOU,WR,3.6,0.0,0.0,0.0,3.6
T.Etienne,JAX,RB,20.1,0.0,0.0,0.0,20.1
J.Jennings,SF,WR,10.16,3.3,0.0,0.0,13.46
C.Watson,GB,WR,11.1,0.0,0.0,0.0,11.1
L.Burden,CHI,WR,5.3,0.0,0.0,0.0,5.3
G.Kittle,SF,TE,1.1,0.0,0.0,0.0,1.1
A.Barner,SEA,TE,0.0,0.2,0.0,0.0,0.2
K.Allen,LAC,WR,4.0,0.0,0.0,0.0,4.0
J.Coker,CAR,WR,23.9,0.0,0.0,0.0,23.9
M.Mims,DEN,WR,0.0,21.8,0.0,0.0,21.8
Offense,,,120.48,35.2,0.0,0.0,155.68
Defense,,,89.5,36.5,0.0,0.0,126.0
Total,,,209.98,71.7,0.0,0.0,281.68
