Player,Team,Position,Wild Card,Divisional,Championship,Super Bowl,Total
E.Jones,SEA,LB,0.0,20.0,0.0,0.0,20.0
J.Verse,LA,LB,1.0,0.0,0.0,0.0,1.0
D.Thomas,SEA,LB,0.0,6.5,0.0,0.0,6.5
C.DeJean,PHI,DB,7.5,0.0,0.0,0.0,7.5
M.Sweat,CHI,DL,4.5,0.0,0.0,0.0,4.5
J.Hunt,PHI,LB,0.0,0.0,0.0,0.0,0.0
J.Cooper,DEN,LB,0.0,2.0,0.0,0.0,2.0
M.Jones,NE,DB,18.1,0.0,0.0,0.0,18.1
L.Williams,SEA,DL,0.0,7.5,0.0,0.0,7.5
J.Gibbens,NE,LB,4.0,0.0,0.0,0.0,4.0
J.Poyer,BUF,DB,2.0,0.0,0.0,0.0,2.0
T.Togiai,HOU,DL,4.5,0.0,0.0,0.0,4.5
Ca.Heyward,PIT,DL,1.5,0.0,0.0,0.0,1.5
J.McCollough,LA,DB,1.0,0.0,0.0,0.0,1.0
K.Benton,PIT,DL,13.5,0.0,0.0,0.0,13.5
J.Smith-Njigba,SEA,WR,0.0,9.4,0.0,0.0,9.4
J.Hurts,PHI,QB,11.62,0.0,0.0,0.0,11.62
J.Love,GB,QB,29.52,0.0,0.0,0.0,29.52
R.Harvey,DEN,RB,0.0,9.1,0.0,0.0,9.1
B.Corum,LA,RB,6.8,0.0,0.0,0.0,6.8
K.Shakir,BUF,WR,14.2,11.0,0.0,0.0,25.2
W.Marks,HOU,RB,17.2,0.0,0.0,0.0,17.2
L.McConkey,LAC,WR,4.7,0.0,0.0,0.0,4.7
J.Reed,GB,WR,13.7,0.0,0.0,0.0,13.7
D.Kincaid,BUF,TE,10.3,17.3,0.0,0.0,27.6
T.Higbee,LA,TE,5.5,0.0,0.0,0.0,5.5
C.Austin,PIT,WR,3.0,0.0,0.0,0.0,3.0
Offense,,,116.54,46.8,0.0,0.0,163.34
Defense,,,57.6,36.0,0.0,0.0,93.6
Total,,,174.14,82.8,0.0,0.0,256.94
